"","subject","itemID","pres.order","Item","Itemtype","Length","ColFreq","AdjFreq","NounFreq","MIScore","answer","res","RT"
"1338",11,87,27,"deep room","Baseline",9,1,72697,212579,0,FALSE,1,1136
"1339",11,88,78,"delicious person","Baseline",16,1,7916,145013,0,FALSE,1,1596
"1340",11,89,29,"early guess","Baseline",11,3,176207,59459,0,FALSE,1,1833
"1341",11,90,97,"easy market","Baseline",11,2,80870,115892,0,FALSE,1,930
"1342",11,91,51,"economic stone","Baseline",14,0,117932,39391,0,FALSE,1,1597
"1343",11,92,20,"false tire","Baseline",10,0,19156,6860,0,FALSE,1,1312
"1344",11,93,2,"famous eye","Baseline",10,2,34411,59867,0,FALSE,1,1469
"1345",11,94,4,"far home","Baseline",8,0,191270,332004,0,FALSE,1,1446
"1346",11,95,24,"final heart","Baseline",11,5,72740,107598,0,FALSE,1,1314
"1347",11,96,23,"flat bird","Baseline",9,0,27148,25214,0,FALSE,1,1291
"1348",11,97,26,"frank animal","Baseline",12,0,36780,35105,0,FALSE,1,2267
"1349",11,98,107,"free voice","Baseline",10,10,130555,111534,0,FALSE,1,879
"1350",11,99,106,"front future","Baseline",12,0,133697,124902,0,FALSE,1,1391
"1351",11,100,69,"full question","Baseline",13,3,113335,178198,0,FALSE,1,962
